source,target,count
NO01,SK03,10
NO01,SK04,10
NO02,BG33,1
NO02,BG42,2
NO02,CZ01,5
NO02,CZ03,1
NO02,CZ06,1
NO02,CZ07,1
NO02,CZ08,1
NO02,EE00,2
NO02,ES11,1
NO02,ES13,1
NO02,ES30,5
NO02,ES41,1
NO02,ES61,2
NO02,ES63,1
NO02,HU10,2
NO02,HU21,2
NO02,LT00,3
NO02,LV00,10
NO02,PL12,4
NO02,PL31,1
NO02,PL34,2
NO02,PL51,2
NO02,PL63,1
NO02,RO21,1
NO02,RO42,1
NO02,SI02,2
NO02,SK01,2
NO02,SK02,1
NO02,SK03,3
NO02,SK04,3
NO03,BG31,4
NO03,BG32,4
NO03,BG33,2
NO03,BG41,5
NO03,CZ01,3
NO03,CZ05,1
NO03,CZ06,1
NO03,CZ07,1
NO03,CZ08,1
NO03,EE00,8
NO03,ES13,1
NO03,ES21,2
NO03,ES30,6
NO03,ES52,1
NO03,ES61,1
NO03,GR30,1
NO03,HU10,3
NO03,HU22,1
NO03,HU23,2
NO03,HU32,1
NO03,HU33,2
NO03,LT00,15
NO03,LV00,7
NO03,MT00,1
NO03,PL11,1
NO03,PL12,9
NO03,PL21,3
NO03,PL22,3
NO03,PL31,1
NO03,PL32,1
NO03,PL34,3
NO03,PL42,2
NO03,PL61,3
NO03,PL63,1
NO03,PT17,3
NO03,PT18,1
NO03,RO11,2
NO03,RO12,2
NO03,RO21,1
NO03,RO22,5
NO03,RO32,8
NO03,SI01,1
NO03,SI02,4
NO03,SK01,1
NO03,SK02,2
NO03,SK03,1
NO03,SK04,1
NO04,BG33,1
NO04,BG41,4
NO04,BG42,2
NO04,CZ01,8
NO04,CZ03,1
NO04,CZ05,1
NO04,CZ07,1
NO04,EE00,2
NO04,ES22,1
NO04,ES30,1
NO04,ES61,1
NO04,HU10,1
NO04,LT00,5
NO04,LV00,14
NO04,PL12,5
NO04,PL21,4
NO04,PL22,1
NO04,PL32,1
NO04,PL34,1
NO04,PL51,2
NO04,PL63,3
NO04,PT11,2
NO04,PT15,1
NO04,PT17,3
NO04,RO12,1
NO04,RO32,5
NO04,SI01,2
NO04,SI02,2
NO04,SK01,2
NO04,SK03,1
NO04,SK04,5
NO05,BG31,1
NO05,BG41,4
NO05,BG42,2
NO05,CZ01,10
NO05,CZ05,1
NO05,CZ06,2
NO05,EE00,13
NO05,ES21,1
NO05,ES30,4
NO05,ES51,1
NO05,GR41,1
NO05,HU10,4
NO05,HU22,1
NO05,LT00,7
NO05,LV00,11
NO05,PL11,1
NO05,PL12,13
NO05,PL21,5
NO05,PL22,6
NO05,PL31,2
NO05,PL32,1
NO05,PL33,1
NO05,PL34,2
NO05,PL41,1
NO05,PL42,3
NO05,PL63,6
NO05,PT11,3
NO05,PT17,4
NO05,RO11,8
NO05,RO12,1
NO05,RO22,1
NO05,RO32,13
NO05,RO41,2
NO05,SK01,3
NO05,SK02,1
NO05,SK03,1
NO05,SK04,2
NO06,BG34,2
NO06,BG41,9
NO06,CZ01,12
NO06,CZ03,1
NO06,CZ06,3
NO06,EE00,8
NO06,ES12,1
NO06,ES21,5
NO06,ES22,2
NO06,ES30,7
NO06,ES51,2
NO06,ES52,3
NO06,GR30,1
NO06,HU10,4
NO06,HU22,1
NO06,HU23,1
NO06,HU31,3
NO06,HU32,2
NO06,HU33,1
NO06,LT00,10
NO06,LV00,17
NO06,PL11,2
NO06,PL12,16
NO06,PL21,9
NO06,PL22,5
NO06,PL42,2
NO06,PL51,5
NO06,PL63,6
NO06,PT11,3
NO06,PT17,1
NO06,RO11,5
NO06,RO12,6
NO06,RO21,7
NO06,RO22,5
NO06,RO31,1
NO06,RO32,9
NO06,RO41,2
NO06,SI01,1
NO06,SI02,3
NO06,SK01,3
NO06,SK02,4
NO06,SK03,4
NO06,SK04,5
NO07,BG32,1
NO07,BG41,3
NO07,CZ01,4
NO07,CZ02,1
NO07,CZ06,1
NO07,CZ07,1
NO07,CZ08,1
NO07,EE00,2
NO07,ES21,1
NO07,ES30,3
NO07,ES41,1
NO07,GR30,1
NO07,HU10,2
NO07,HU22,1
NO07,LT00,8
NO07,LV00,3
NO07,PL12,8
NO07,PL21,6
NO07,PL22,1
NO07,PL63,5
NO07,PT11,2
NO07,PT16,1
NO07,PT17,1
NO07,RO11,1
NO07,RO21,1
NO07,RO31,1
NO07,RO32,1
NO07,RO41,1
NO07,RO42,1
NO07,SI02,2
NO07,SK01,3
NO07,SK04,5
